time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,4,4,17,4
2026-09-11 00:00:00+00:00,9,5,6,4
2026-09-12 00:00:00+00:00,2,2,5,3
2026-09-13 00:00:00+00:00,14,8,10,4
2026-09-14 00:00:00+00:00,16,6,19,6
2026-09-15 00:00:00+00:00,7,6,13,8
2026-09-16 00:00:00+00:00,2,2,12,8
2026-09-17 00:00:00+00:00,3,3,7,3
2026-09-18 00:00:00+00:00,7,6,2,2
2026-09-19 00:00:00+00:00,4,4,3,3
2026-09-20 00:00:00+00:00,2,2,0,0
2026-09-21 00:00:00+00:00,4,4,5,2
2026-09-22 00:00:00+00:00,11,5,11,6
2026-09-23 00:00:00+00:00,3,3,1,1
