time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-10 00:00:00+00:00,18,9,5,3
2026-08-11 00:00:00+00:00,14,7,17,5
2026-08-12 00:00:00+00:00,10,5,10,3
2026-08-13 00:00:00+00:00,20,20,6,1
2026-08-14 00:00:00+00:00,26,14,4,1
2026-08-15 00:00:00+00:00,21,21,9,2
2026-08-16 00:00:00+00:00,5,5,1,1
2026-08-17 00:00:00+00:00,16,15,7,4
2026-08-18 00:00:00+00:00,5,5,1,1
2026-08-19 00:00:00+00:00,13,7,12,5
2026-08-20 00:00:00+00:00,18,8,4,4
2026-08-21 00:00:00+00:00,5,5,8,2
2026-08-22 00:00:00+00:00,5,3,8,5
2026-08-23 00:00:00+00:00,3,3,5,3
