time_iso8601,stars_cumulative
2026-07-13 00:00:00+00:00,1
2026-07-14 00:00:00+00:00,2
2026-07-15 00:00:00+00:00,3
2026-08-04 00:00:00+00:00,4
2026-08-06 00:00:00+00:00,5
2026-08-10 00:00:00+00:00,6
2026-08-18 00:00:00+00:00,7
2026-09-01 00:00:00+00:00,8
